species;code
Agalinis brachyphylla;tropical
Agalinis brevifolia;extratropical
Agalinis communis;generalist
Agalinis densiflora;extratropical
Agalinis divaricata;extratropical
Agalinis edwardsiana;extratropical
Agalinis fasciculata;extratropical
Agalinis fiebrigii;extratropical
Agalinis filicaulis;extratropical
Agalinis filifolia;generalist
Agalinis gattingeri;extratropical
Agalinis genistifolia;generalist
Agalinis glandulosa;tropical
Agalinis gypsophila;extratropical
Agalinis harperi;generalist
Agalinis heterophylla;extratropical
Agalinis hispidula;tropical
Agalinis homalantha;extratropical
Agalinis lanceolata;generalist
Agalinis linarioides;generalist
Agalinis linifolia;generalist
Agalinis maritima;generalist
Agalinis megalantha;extratropical
Agalinis neoscotica;extratropical
Agalinis obtusifolia;extratropical
Agalinis oligophylla;extratropical
Agalinis paupercula;extratropical
Agalinis peduncularis;extratropical
Agalinis pennellii;extratropical
Agalinis plukenetii;extratropical
Agalinis purpurea;extratropical
Agalinis scarlatina;extratropical
Agalinis schwackeana;tropical
Agalinis setacea;extratropical
Agalinis skinneriana;extratropical
Agalinis strictifolia;extratropical
Agalinis tenuifolia;extratropical
Agalinis viridis;extratropical
Agalmyla borneensis;tropical
Agalmyla brownii;tropical
Agalmyla centralis;tropical
Agalmyla chorisepala;tropical
Agalmyla columneoides;tropical
Agalmyla diandra;tropical
Agalmyla elongata;tropical
Agalmyla exannulata;tropical
Agalmyla glabrisepala;tropical
Agalmyla immersinervia;tropical
Agalmyla inaequidentata;tropical
Agalmyla insularis;undetermined
Agalmyla johannis-winkleri;tropical
Agalmyla lavandulacea;tropical
Agalmyla murudiana;tropical
Agalmyla pseudoborneensis;tropical
Agalmyla rubra;tropical
Agalmyla stellifera;tropical
Agalmyla valetoniana;tropical
Agastache aurantiaca;extratropical
Agastache breviflora;extratropical
Agastache cana;extratropical
Agastache coccinea;extratropical
Agastache cusickii;extratropical
Agastache eplingiana;extratropical
Agastache foeniculum;extratropical
Agastache mearnsii;extratropical
Agastache mexicana;extratropical
Agastache micrantha;extratropical
Agastache nepetoides;extratropical
Agastache occidentalis;extratropical
Agastache pallida;extratropical
Agastache pallidiflora;extratropical
Agastache palmeri;extratropical
Agastache parvifolia;extratropical
Agastache pringlei;extratropical
Agastache rugosa;extratropical
Agastache rupestris;extratropical
Agastache scrophulariifolia;extratropical
Agastache urticifolia;extratropical
Agastache wrightii;extratropical
Ajuga australis;extratropical
Ajuga campylanthoides;extratropical
Ajuga chamaecistus;extratropical
Ajuga chamaepitys;extratropical
Ajuga ciliata;extratropical
Ajuga decaryana;tropical
Ajuga decumbens;extratropical
Ajuga dictyocarpa;tropical
Ajuga flaccida;tropical
Ajuga forrestii;extratropical
Ajuga genevensis;extratropical
Ajuga integrifolia;extratropical
Ajuga iva;extratropical
Ajuga japonica;extratropical
Ajuga laxmannii;extratropical
Ajuga leucantha;tropical
Ajuga linearifolia;extratropical
Ajuga lobata;extratropical
Ajuga lupulina;extratropical
Ajuga macrosperma;extratropical
Ajuga mixta;extratropical
Ajuga multiflora;extratropical
Ajuga nipponensis;extratropical
Ajuga nubigena;extratropical
Ajuga oocephala;tropical
Ajuga ophrydis;extratropical
Ajuga orientalis;extratropical
Ajuga ovalifolia;extratropical
Ajuga parviflora;extratropical
Ajuga pygmaea;tropical
Ajuga pyramidalis;extratropical
Ajuga reptans;extratropical
Ajuga robusta;tropical
Ajuga salicifolia;extratropical
Ajuga shikotanensis;extratropical
Ajuga sinuata;extratropical
Ajuga spectabilis;extratropical
Ajuga taiwanensis;generalist
Ajuga tenorei;extratropical
Ajuga yesoensis;extratropical
Ajugoides humilis;extratropical
Alectra arvensis;generalist
Alectra capensis;extratropical
Alectra glandulosa;tropical
Alectra lurida;undetermined
Alectra orobanchoides;generalist
Alectra parasitica;tropical
Alectra picta;extratropical
Alectra rigida;tropical
Alectra sessiliflora;generalist
Alectra virgata;tropical
Alectra vogelii;generalist
Alloplectus hispidus;generalist
Alloplectus inflatus;generalist
Alloplectus tessmannii;generalist
Alloplectus weirii;tropical
Alonsoa acutifolia;extratropical
Alonsoa auriculata;extratropical
Alonsoa linearis;extratropical
Alonsoa meridionalis;generalist
Alonsoa serrata;generalist
Alonsoa unilabiata;extratropical
Aloysia barbata;extratropical
Aloysia castellanosii;extratropical
Aloysia catamarcensis;extratropical
Aloysia chamaedryfolia;extratropical
Aloysia chiapensis;tropical
Aloysia citriodora;generalist
Aloysia decipiens;extratropical
Aloysia deserticola;extratropical
Aloysia dusenii;extratropical
Aloysia fiebrigii;generalist
Aloysia gratissima;extratropical
Aloysia macrostachya;extratropical
Aloysia oblanceolata;generalist
Aloysia ovatifolia;extratropical
Aloysia polygalifolia;generalist
Aloysia polystachya;generalist
Aloysia pulchra;generalist
Aloysia salsoloides;extratropical
Aloysia salviifolia;extratropical
Aloysia scorodonioides;generalist
Aloysia sonorensis;generalist
Aloysia spathulata;extratropical
Aloysia trifida;extratropical
Aloysia virgata;generalist
Aloysia wrightii;extratropical
Alsobia punctata;tropical
Alvesia clerodendroides;tropical
Alvesia rosmarinifolia;tropical
Amalophyllon albiflorum;generalist
Amalophyllon clarkii;generalist
Amalophyllon divaricatum;generalist
Amalophyllon laceratum;tropical
Amalophyllon parviflorum;tropical
Amalophyllon repens;tropical
Amalophyllon rupestre;tropical
Amasonia angustifolia;tropical
Amasonia calycina;tropical
Amasonia campestris;tropical
Amasonia hirta;tropical
Amasonia obovata;tropical
Ameroglossum pernambucense;tropical
Amethystea caerulea;extratropical
Amphilophium arenarium;tropical
Amphilophium aschersonii;tropical
Amphilophium bauhinioides;tropical
Amphilophium blanchetii;tropical
Amphilophium bracteatum;tropical
Amphilophium buccinatorium;generalist
Amphilophium carolinae;extratropical
Amphilophium crucigerum;tropical
Amphilophium cuneifolium;tropical
Amphilophium dasytrichum;tropical
Amphilophium dolichoides;generalist
Amphilophium dusenianum;tropical
Amphilophium ecuadorense;tropical
Amphilophium elongatum;tropical
Amphilophium falcatum;generalist
Amphilophium frutescens;tropical
Amphilophium gnaphalanthum;tropical
Amphilophium granulosum;tropical
Amphilophium lactiflorum;tropical
Amphilophium laevis;tropical
Amphilophium laxiflorum;extratropical
Amphilophium lohmanniae;tropical
Amphilophium magnoliifolium;tropical
Amphilophium mansoanum;tropical
Amphilophium obovatum;tropical
Amphilophium occidentale;tropical
Amphilophium paniculatum;tropical
Amphilophium pannosum;generalist
Amphilophium parkeri;tropical
Amphilophium perbracteatum;tropical
Amphilophium porphyrotrichum;tropical
Amphilophium pulverulentum;tropical
Amphilophium rodriguesii;tropical
Amphilophium sandwithii;generalist
Amphilophium scabriusculum;tropical
Amphilophium steyermarkii;tropical
Amphitecna apiculata;tropical
Amphitecna breedlovei;tropical
Amphitecna donnell-smithii;tropical
Amphitecna gentryi;tropical
Amphitecna isthmica;tropical
Amphitecna kennedyae;tropical
Amphitecna latifolia;tropical
Amphitecna macrophylla;generalist
Amphitecna molinae;tropical
Amphitecna montana;tropical
Amphitecna parviflora;tropical
Amphitecna regalis;tropical
Amphitecna sessilifolia;tropical
Amphitecna silvicola;tropical
Amphitecna spathicalyx;tropical
Amphitecna steyermarkii;tropical
Amphitecna tuxtlensis;tropical
Anamaria heterophylla;tropical
Anarrhinum bellidifolium;extratropical
Anarrhinum corsicum;extratropical
Anarrhinum duriminium;extratropical
Anarrhinum fruticosum;extratropical
Anarrhinum longipedicellatum;extratropical
Anarrhinum pedatum;extratropical
Anastrabe integerrima;generalist
Andrographis elongata;extratropical
Andrographis laxiflora;generalist
Andrographis paniculata;tropical
Androya decaryi;tropical
Anemopaegma acutifolium;tropical
Anemopaegma alatum;tropical
Anemopaegma album;tropical
Anemopaegma arvense;tropical
Anemopaegma brevipes;tropical
Anemopaegma chamberlaynii;tropical
Anemopaegma chrysanthum;tropical
Anemopaegma chrysoleucum;tropical
Anemopaegma citrinum;tropical
Anemopaegma colombianum;tropical
Anemopaegma flavum;tropical
Anemopaegma floridum;tropical
Anemopaegma foetidum;tropical
Anemopaegma glaucum;tropical
Anemopaegma goyazense;tropical
Anemopaegma gracile;tropical
Anemopaegma grandifolium;tropical
Anemopaegma hilarianum;tropical
Anemopaegma insculptum;tropical
Anemopaegma ionanthum;tropical
Anemopaegma jucundum;tropical
Anemopaegma karstenii;tropical
Anemopaegma laeve;tropical
Anemopaegma longipetiolatum;tropical
Anemopaegma oligoneuron;tropical
Anemopaegma orbiculatum;tropical
Anemopaegma pabstii;tropical
Anemopaegma paraense;tropical
Anemopaegma parkeri;tropical
Anemopaegma patelliforme;tropical
Anemopaegma prostratum;generalist
Anemopaegma puberulum;tropical
Anemopaegma robustum;tropical
Anemopaegma santaritense;tropical
Anemopaegma scabriusculum;tropical
Anemopaegma setilobum;tropical
Anemopaegma velutinum;tropical
Anetanthus gracilis;tropical
Angelonia acuminatissima;tropical
Angelonia angustifolia;tropical
Angelonia arguta;tropical
Angelonia biflora;tropical
Angelonia blanchetii;tropical
Angelonia campestris;tropical
Angelonia ciliaris;tropical
Angelonia cornigera;tropical
Angelonia crassifolia;tropical
Angelonia eriostachys;tropical
Angelonia goyazensis;tropical
Angelonia integerrima;generalist
Angelonia parviflora;tropical
Angelonia pilosella;tropical
Angelonia pratensis;tropical
Angelonia procumbens;tropical
Angelonia pubescens;tropical
Angelonia salicariifolia;tropical
Angelonia tomentosa;tropical
Angelonia verticillata;tropical
Anisacanthus andersonii;extratropical
Anisacanthus brasiliensis;tropical
Anisacanthus linearis;extratropical
Anisacanthus nicaraguensis;tropical
Anisacanthus puberulus;extratropical
Anisacanthus pumilus;extratropical
Anisacanthus quadrifidus;extratropical
Anisacanthus ramosissimus;tropical
Anisacanthus thurberi;extratropical
Anisacanthus trilobus;tropical
Anisacanthus tulensis;extratropical
Anisochilus carnosus;tropical
Anisochilus pallidus;tropical
Anisomeles heyneana;tropical
Anisomeles indica;generalist
Anisomeles malabarica;tropical
Anisomeles salviifolia;tropical
Anisosepalum alboviolaceum;tropical
Anisosepalum humbertii;tropical
Anisosepalum lewallei;tropical
Anisotes divaricatus;undetermined
Anisotes formosissimus;tropical
Anisotes galpinii;extratropical
Anisotes longistrobus;extratropical
Anisotes macrophyllus;tropical
Anisotes madagascariensis;tropical
Anisotes pubinervius;tropical
Anisotes rogersii;generalist
Anisotes sessiliflorus;tropical
Anisotes trisulcus;tropical
Anna mollifolia;extratropical
Anna ophiorrhizoides;extratropical
Anomacanthus congolanus;tropical
Antherothamnus pearsonii;extratropical
Anticharis arabica;tropical
Anticharis glandulosa;generalist
Anticharis imbricata;tropical
Anticharis inflata;generalist
Anticharis juncea;extratropical
Anticharis scoparia;extratropical
Anticharis senegalensis;generalist
Antirrhinum antirrhiniflorum;extratropical
Antirrhinum australe;extratropical
Antirrhinum braun-blanquetii;extratropical
Antirrhinum charidemi;extratropical
Antirrhinum confertiflorum;extratropical
Antirrhinum coulterianum;extratropical
Antirrhinum filipes;extratropical
Antirrhinum graniticum;extratropical
Antirrhinum grosii;extratropical
Antirrhinum hispanicum;extratropical
Antirrhinum latifolium;extratropical
Antirrhinum litigiosum;extratropical
Antirrhinum majus;extratropical
Antirrhinum meonanthum;extratropical
Antirrhinum microphyllum;extratropical
Antirrhinum mohavea;extratropical
Antirrhinum molle;extratropical
Antirrhinum nuttallianum;extratropical
Antirrhinum pertegasii;extratropical
Antirrhinum pulverulentum;extratropical
Antirrhinum sempervirens;extratropical
Antirrhinum siculum;extratropical
Antirrhinum valentinum;extratropical
Antirrhinum watsonii;extratropical
Aphanosperma sinaloensis;generalist
Aphelandra acanthifolia;generalist
Aphelandra acanthus;generalist
Aphelandra acrensis;tropical
Aphelandra albert-smithii;tropical
Aphelandra antioquiensis;tropical
Aphelandra arisema;tropical
Aphelandra arnoldii;tropical
Aphelandra attenuata;tropical
Aphelandra aurantiaca;tropical
Aphelandra bahiensis;tropical
Aphelandra barkleyi;tropical
Aphelandra blanchetiana;tropical
Aphelandra blandii;tropical
Aphelandra boyacensis;tropical
Aphelandra campanensis;tropical
Aphelandra caput-medusae;tropical
Aphelandra chamissoniana;tropical
Aphelandra chaponensis;tropical
Aphelandra cirsioides;generalist
Aphelandra colorata;generalist
Aphelandra crenata;tropical
Aphelandra crispata;tropical
Aphelandra cuatrecasasii;tropical
Aphelandra dielsii;tropical
Aphelandra diffusa;generalist
Aphelandra dolichantha;tropical
Aphelandra eurystoma;generalist
Aphelandra fasciculata;tropical
Aphelandra fernandezii;tropical
Aphelandra ferreyrae;tropical
Aphelandra flava;tropical
Aphelandra formosa;generalist
Aphelandra garciae;tropical
Aphelandra gigantiflora;tropical
Aphelandra glabrata;tropical
Aphelandra golfodulcensis;tropical
Aphelandra gracilis;tropical
Aphelandra grandis;tropical
Aphelandra guerrerensis;generalist
Aphelandra harleyi;tropical
Aphelandra hartwegiana;tropical
Aphelandra heydeana;tropical
Aphelandra hieronymi;generalist
Aphelandra hirta;tropical
Aphelandra hylaea;tropical
Aphelandra impressa;tropical
Aphelandra inaequalis;tropical
Aphelandra jacobinioides;tropical
Aphelandra lasia;tropical
Aphelandra lasiophylla;tropical
Aphelandra latibracteata;tropical
Aphelandra lawranceae;tropical
Aphelandra leonardii;tropical
Aphelandra liboniana;generalist
Aphelandra lilacina;extratropical
Aphelandra lineariloba;tropical
Aphelandra lingua-bovis;tropical
Aphelandra luyensis;generalist
Aphelandra macrophylla;tropical
Aphelandra macrosiphon;generalist
Aphelandra macrostachya;tropical
Aphelandra maculata;tropical
Aphelandra madrensis;tropical
Aphelandra margaritae;tropical
Aphelandra marginata;tropical
Aphelandra martiusii;tropical
Aphelandra maximiliana;tropical
Aphelandra montis-scalaris;tropical
Aphelandra mucronata;tropical
Aphelandra neillii;tropical
Aphelandra nuda;tropical
Aphelandra ornata;tropical
Aphelandra panamensis;tropical
Aphelandra parvispica;tropical
Aphelandra pepe-parodii;tropical
Aphelandra pharangophila;tropical
Aphelandra phrynioides;tropical
Aphelandra pilosa;tropical
Aphelandra porphyrocarpa;generalist
Aphelandra prismatica;tropical
Aphelandra pulcherrima;tropical
Aphelandra rosulata;tropical
Aphelandra rubra;tropical
Aphelandra runcinata;tropical
Aphelandra rusbyi;tropical
Aphelandra scabra;tropical
Aphelandra schiedeana;generalist
Aphelandra seibertii;tropical
Aphelandra sinclairiana;tropical
Aphelandra speciosa;tropical
Aphelandra squarrosa;tropical
Aphelandra storkii;tropical
Aphelandra straminea;tropical
Aphelandra sulphurea;generalist
Aphelandra terryae;tropical
Aphelandra tillettii;tropical
Aphelandra tomentosa;tropical
Aphelandra tonduzii;tropical
Aphelandra tridentata;tropical
Aphelandra verticillata;generalist
Aphelandra viscosa;generalist
Aphelandra wendtii;tropical
Aphelandra wurdackii;generalist
Aphyllon californicum;extratropical
Aphyllon chilense;extratropical
Aphyllon cooperi;extratropical
Aphyllon corymbosum;extratropical
Aphyllon fasciculatum;extratropical
Aphyllon ludovicianum;extratropical
Aphyllon multicaule;extratropical
Aphyllon multiflorum;extratropical
Aphyllon parishii;extratropical
Aphyllon pinorum;extratropical
Aphyllon riparium;extratropical
Aphyllon tuberosum;extratropical
Aphyllon uniflorum;extratropical
Aphyllon vallicolum;extratropical
Aptosimum albomarginatum;extratropical
Aptosimum angustifolium;generalist
Aptosimum arenarium;generalist
Aptosimum decumbens;extratropical
Aptosimum elongatum;extratropical
Aptosimum eriocephalum;extratropical
Aptosimum glandulosum;extratropical
Aptosimum indivisum;extratropical
Aptosimum junceum;extratropical
Aptosimum lineare;extratropical
Aptosimum lugardiae;extratropical
Aptosimum marlothii;extratropical
Aptosimum patulum;extratropical
Aptosimum procumbens;extratropical
Aptosimum pumilum;tropical
Aptosimum spinescens;extratropical
Aptosimum tragacanthoides;extratropical
Aptosimum viscosum;extratropical
Aragoa abietina;extratropical
Aragoa abscondita;generalist
Aragoa chingacensis;extratropical
Aragoa cleefii;extratropical
Aragoa corrugatifolia;extratropical
Aragoa cundinamarcensis;extratropical
Aragoa cupressina;extratropical
Aragoa dugandii;extratropical
Aragoa funzana;extratropical
Aragoa kogiorum;extratropical
Aragoa lycopodioides;extratropical
Aragoa occidentalis;tropical
Aragoa perez-arbelaeziana;extratropical
Aragoa romeroi;tropical
Aragoa tamana;tropical
Ardisia polygama;tropical
Argylia adscendens;extratropical
Argylia bustillosii;extratropical
Argylia potentillifolia;extratropical
Argylia radiata;extratropical
Argylia robusta;extratropical
Argylia uspallatensis;extratropical
Artanema fimbriatum;generalist
Artanema longifolium;tropical
Asarina procumbens;extratropical
Ascotheca paucinervia;tropical
Asepalum eriantherum;tropical
Asteranthera ovata;extratropical
Asterohyptis mociniana;tropical
Asterohyptis seemannii;generalist
Asterohyptis stellulata;generalist
Astianthus viminalis;generalist
Asystasia africana;generalist
Asystasia albiflora;generalist
Asystasia atriplicifolia;extratropical
Asystasia australasica;tropical
Asystasia buettneri;tropical
Asystasia chelonoides;generalist
Asystasia congensis;tropical
Asystasia excellens;tropical
Asystasia gangetica;tropical
Asystasia glandulifera;tropical
Asystasia glandulosa;tropical
Asystasia guttata;tropical
Asystasia leptostachya;tropical
Asystasia lindauiana;tropical
Asystasia macrophylla;tropical
Asystasia mysorensis;generalist
Asystasia oppositiflora;undetermined
Asystasia riparia;tropical
Asystasia salicifolia;tropical
Asystasia scandens;tropical
Asystasia subbiflora;extratropical
Asystasia varia;generalist
Asystasia vogeliana;tropical
Aureolaria flava;extratropical
Aureolaria grandiflora;extratropical
Aureolaria greggii;extratropical
Aureolaria laevigata;extratropical
Aureolaria patula;extratropical
Aureolaria pectinata;extratropical
Aureolaria pedicularia;extratropical
Aureolaria virginica;extratropical
Avicennia bicolor;tropical
Avicennia germinans;tropical
Avicennia integra;tropical
Avicennia marina;generalist
Avicennia schaueriana;tropical
Bacopa angulata;tropical
